song,artist,genre,mood,language
Some Nights,fun.,Indie Pop,Energetic,English
Achilles Come Down,Gang of Youths,Indie Rock,Sad,English
Such a Loser,Garfunkel and Oates,Comedy Folk,Happy,English
I Want a Hippopotamus for Christmas,Gayla Peevey,Christmas,Christmas,English
Careless Whisper,George Michael,Pop,Love,English
Dasher,Gerard Way,Alternative Rock,Energetic,English
Kill of the Night,Gin Wigmore,Indie Rock,Halloween,English
Crazy,Gnarls Barkley,Soul,Chill,English
Iris,Goo Goo Dolls,Rock,Love,English
Hikaru Nara,Goose House,Anime,Happy,Japanese
Feel Good,Gorillaz,Alternative,Chill,English
Clint Eastwood,Gorillaz,Alternative,Chill,English
You're the One that Want,Grease,Musical,Love,English
Summer Nights,Grease,Musical,Happy,English
Look at Me I'm Sandra Dee,Grease,Musical,Happy,English
There Are Worse Things I Could Do,Grease,Musical,Chill,English
Hopelessly Devoted to You,Grease,Musical,Sad,English
California,Grimes,Indie Pop,Chill,English
Sweet Child o' Mine,Guns N' Roses,Hard Rock,Love,English
Good Riddance,Hades,Soundtrack,Sad,English
Coral Crown,Hades 2,Soundtrack,Energetic,English
Good Morning Baltimore,Hairspray,Musical,Happy,English
The New Girl in Town,Hairspray,Musical,Energetic,English
Maneater,Hall & Oates,Pop Rock,Love,English
Without Me,Halsey,Pop,Sad,English
Gasoline,Halsey,Pop,Angry,English
Closer,Halsey,Pop,Sad,English
Colors,Halsey,Pop,Chill,English
Hurricane,Halsey,Pop,Energetic,English
Clementine,Halsey,Pop,Chill,English
Hearse Song,Harley Poe,Folk Punk,Halloween,English
Sign of the Times,Harry Styles,Pop Rock,Sad,English
Watermelon Sugar,Harry Styles,Pop,Happy,English
Senbonzakura,Hatsune Miku,Vocaloid,Energetic,Japanese
Melt,Hatsune Miku,Vocaloid,Love,Japanese
Black Rock Shooter,Hatsune Miku,Vocaloid,Energetic,Japanese
World is Mine,Hatsune Miku,Vocaloid,Happy,Japanese
Dead Girl Walking,Heathers,Musical,Energetic,English
Go The Distance,Hercules,Disney,Happy,English
I Won't Say (I'm in Love),Hercules,Disney,Love,English
Rabu Ka,Hiiragi Kirai,Vocaloid,Energetic,Japanese
"We Are",Hiroshi Kitadani,Anime,Energetic,Japanese
Come Little Children,Hocus Pocus,Soundtrack,Halloween,English
I put a Spell on You,Hocus Pocus,Soundtrack,Halloween,English
Send Bobs,Hovey Benjamin,Comedy,Happy,English
Cherry Wine,Hozier,Indie Folk,White Girl Music,English
Take Me to Church,Hozier,Indie Rock,White Girl Music,English
Too Sweet,Hozier,Indie Rock,White Girl Music,English
Hellfire,Hunchback of Notre Dame,Disney,Halloween,English
God Help the Outcasts,Hunchback of Notre Dame,Disney,Gospel,English
Blue Bed,ikimonogakari,J-Pop,Nostalgic,Japanese
Enemy,Imagine Dragons,Pop Rock,Energetic,English
Hide and Seek,Imogen Heap,Electronic,Halloween,English
The Way I Am,Ingrid Michaelson,Indie Folk,White Girl Music,English
Palette,IU,K-Pop,Chill,Korean
Upside Down,Jack Johnson,Acoustic,Happy,English
I Saw Mommy Kissing Santa Claus,Jackson 5,Christmas,Christmas,English
I Want You Back,Jackson 5,Pop,Happy,English
"Broken Strings","James Morrison, Nelly Furtado",Pop,Sad,English
I'm Yours,Jason Mraz,Pop,Happy,English
White Rabbit,Jefferson Airplane,Psychedelic Rock,Chill,English
Middie,Jimmy Eat World,Alternative Rock,Energetic,English
Country Roads,John Denver,Folk,Nostalgic,English
All of Me,John Legend,R&B,Love,English
Slow Dancing in the Dark,Joji,R&B,Sad,English
Die for You,Joji,R&B,Sad,English
Feliz Navidad,Jose Feliciano,Christmas,Christmas,Spanish
You Raise Me Up,Josh Groban,Pop Ballad,Gospel,English
Somewhere Over the Rainbow,Judy Garland,Showtune,Nostalgic,English
Baby,Justin Bieber,Pop,Love,English
Mistletoe,Justin Bieber,Christmas,Christmas,English
Golden Hour,JVKE,Pop,Love,English
The One That Got Away,Katy Perry,Pop Ballad,Nostalgic,English
Villain,K/DA,K-Pop,Energetic,English
Don't Say Lazy,K-On,Anime,Happy,Japanese
Lemon,Kenshi Yonezu,J-Pop,Sad,Japanese
Kick Back,Kenshi Yonezu,J-Pop,Energetic,Japanese
Understand,Keshi,R&B,Love,English
Young Dumb & Broke,Khalid,R&B,Chill,English
Aishite,Kikuo,Vocaloid,Halloween,Japanese
Byul,Kim Ah Joong,K-Pop,Sad,Korean
Hajimete no Chuu,Kimura Takuya,Anime,Happy,Japanese
Flamingo,Kero Kero Bonito,,,
All I Want,Kodaline,Indie Folk,Sad,English
Fukurou,Kokia,J-Pop,Chill,Japanese
Pon Pon Pon,Kyary Pamyu Pamyu,J-Pop,Happy,Japanese
Dover's High,L'Arc en Ciel,J-Rock,Energetic,Japanese
Someone in The Crowd,La La Land,Musical,Energetic,English
Anothar Day of Sun,La La Land,Musical,Happy,English
City of Stars,La La Land,Musical,Love,English
Audition,La La Land,Musical,Energetic,English
A Lovely Night,La La Land,Musical,Happy,English
Young And Beautiful,Lana Del Rey,Indie Pop,White Girl Music,English
Video Games,Lana Del Rey,Indie Pop,White Girl Music,English
Falling in Love at a Coffee Shop,Landon Pigg,Indie Folk,White Girl Music,English
Valentine,Laufey,Jazz Pop,White Girl Music,English
From the Start,Laufey,Jazz Pop,White Girl Music,English
Falling Behind,Laufey,Jazz Pop,White Girl Music,English
"A Night to Remember","Laufey, beabadoobee",Jazz Pop,White Girl Music,English
Stairway to Heaven,Led Zeppelin,Rock,Energetic,English
Immigrant Song,Led Zeppelin,Rock,Angry,English
Bleeding Love,Leona Lewis,Pop,Love,English
Hallelujah,Leonard Cohen,Folk,Gospel,English
I Dreamed a Dream,Les Miserables,Musical Theatre,Sad,English
On my Own,Les Miserables,Musical Theatre,Sad,English
What a Wonderful Worid,Louis Armstrong,Jazz,Chill,English
Love Me Dead,Ludo,Alternative Rock,Happy,English
My Favorite Part,Mac Miller,Hip-Hop,Love,English
The Red Means I Love You,Madds Buckley,Indie,Halloween,English
Reckless,Madison Beer,Pop,Sad,English
Rude,MAGIC!,Reggae Pop,Happy,English
Beggin,Maneskin,Rock,Energetic,English
All I Want for Christmas is You,Mariah Carey,Christmas,Christmas,English
Primadonna Giri,Marina,Pop,Happy,English
How to be a Heartbreaker,Marina,Pop,Happy,English
Teen Idle,Marina,Pop,Sad,English
Sunday Morning,Maroon 5,Pop Rock,Love,English
Daylight,Maroon 5,Pop Rock,Sad,English
She Will he Loved,Maroon 5,Pop Rock,Love,English
Payphone,Maroon 5,Pop Rock,Sad,English
Daddy Daddy Do!,Masayuki Suzuki,Anime,Happy,Japanese
Halloween,Mean Girls,Musical,Halloween,English
A Cautionary Tale,Mean Girls,Musical,Nostalgic,English
It Roars,Mean Girls,Musical,Happy,English
Meet the Plastics,Mean Girls,Musical,Happy,English
Stupid With Love,Mean Girls,Musical,Love,English
Apex Predator,Mean Girls,Musical,Angry,English
What Wrong With Me,Mean Girls,Musical,Sad,English
Revenge Party,Mean Girls,Musical,Energetic,English
I'd Rather Be Me,Mean Girls,Musical,Energetic,English
Like I'm Gonna Lose You,Meghan Trainor,Pop,Love,English
Play Date,Melanie Martinez,Alt Pop,Happy,English
Bulletproof,Melanie Martinez,Alt Pop,Chill,English
Toxic,Melanie Martinez,Alt Pop,Angry,English
"Tag, You're It",Melanie Martinez,Alt Pop,Halloween,English
Pacify Her,Melanie Martinez,Alt Pop,Love,English
Snake Eater,Metal Gear,Soundtrack,Energetic,English
A Stranger I Remain,Metal Gear Rising Revengence,Soundtrack,Energetic,English
The Only Thing I Know for Real,Metal Gear Rising Revengence,Soundtrack,Energetic,English
It Has to Be This Way,Metal Gear Rising Revengence,Soundtrack,Energetic,English
Black Sheep,Metric,Indie Rock,Energetic,English
Shut Up,Mia Rodriguez,Pop,Angry,English
Holly Jolly Christmas,Michael Buble,Christmas,Christmas,English
Winter Wonderland,Michael Buble,Christmas,Christmas,English
It's Beginning to Look a Lot like Christmas,Michael Buble,Christmas,Christmas,English
White Christmas,Michael Buble,Christmas,Christmas,English
Thriller,Michael Jackson,Pop,Halloween,English
Genghis Khan,Miike Snow,Indie Pop,Energetic,English
Love today,MIKA,Pop,Happy,English
Stay With Me,Miki Matsubara,City Pop,Nostalgic,Japanese
Sayoko,Mikito-P,Vocaloid,Happy,Japanese
Zankoku na Tenshi no Teeze,Mikuni Shimokawa,Anime,Energetic,Japanese
Flowers,Miley Cyrus,Pop,Energetic,English
Rabbit Hole,Mindy Gledhill,Indie Folk,White Girl Music,English
How Far I'll Go,Moana,Disney,Happy,English
You're Welcome,Moana,Disney,Happy,English
Shiny,Moana,Disney,Happy,English
Ghosting,Mother Mother,Indie Rock,Halloween,English
Honor to us All,Mulan,Disney,Happy,English
Reflection,Mulan,Disney,Sad,English
I'll Make A Man Out of You,Mulan,Disney,Energetic,English
A Girl Worth Fighting For,Mulan,Disney,Happy,English
Starlight,Muse,Alternative Rock,Energetic,English
Uprising,Muse,Alternative Rock,Energetic,English
Supermassive Black Hole,Muse,Alternative Rock,Energetic,English
Fever Dream,mxmtoon,Indie Pop,White Girl Music,English
Welcome to the Black Parade,My Chemical Romance,Emo Rock,Energetic,English
Husavik,My Marianne,Pop,Love,English
Brightdown,Nami Tamaki,Anime,Energetic,Japanese
I'm in Love,Narsha,K-Pop,Love,Korean
LOVE,Nat King Cole,Jazz,Love,English
Christmas Song,Nat King Cole,Christmas,Christmas,English
Nature Boy,Nat King Cole,Jazz,Chill,English
This Will Be,Natalie Cole,Soul,Love,English
Nico Nico Kumiyoku,Nico Nico Douga Chorus,Vocaloid,Happy,Japanese
Weight of the World,Nier,Soundtrack,Sad,English
La La Lost You,NIKI,Indie Pop,Sad,English
Low Key,NIKI,Indie Pop,Love,English
Oceans and Engines,NIKI,Indie Pop,Sad,English
Sugarplum Elegy,NIKI,Indie Pop,Nostalgic,English
Smells Like Teen Spirit,Nirvana,Grunge,Angry,English
Lonely,Noah Cyrus,Pop,Sad,English
Never Forget You,Noisettes,Indie Pop,Love,English
Don't Know Why,Norah Jones,Jazz,White Girl Music,English
Nyan Cat,Nyan Cat,Novelty,Happy,Japanese
Wonderwall,Oasis,Britpop,Energetic,English
Mixed Nuts,OFFICIAL HIGE DANDISM,J-Pop,Energetic,Japanese
You're Gonna Go Far Kid,Offspring,Punk Rock,Energetic,English
Be Okay,Oh Honey,Indie Pop,Happy,English
Wolf and I,Oh Land,Indie Pop,Chill,English
Man I Need,Olivia Dean,Soul,Happy,English
So Easy (To Fall in Love),Olivia Dean,Soul,Love,English
All American Bitch,Olivia Rodrigo,Pop Rock,Angry,English
Drivers License,Olivia Rodrigo,Pop,Sad,English
Vampire,Olivia Rodrigo,Pop Rock,Angry,English
Lacy,Olivia Rodrigo,Pop,Sad,English
Can't Catch me Now,Olivia Rodrigo,Pop,Halloween,English
Happier,Olivia Rodrigo,Pop,Sad,English
"jealous, jealousy",Olivia Rodrigo,Pop Rock,Angry,English
All I Want,Olivia Rodrigo,Pop,Sad,English
drop dead,Olivia Rodrigo,Synth-Pop,Love,English
the cure,Olivia Rodrigo,Alternative Rock,Sad,English
less,Olivia Rodrigo,Pop Ballad,Sad,English
maggots for brains,Olivia Rodrigo,New Wave,Sad,English
stupid song,Olivia Rodrigo,Pop Ballad,Sad,English
honeybee,Olivia Rodrigo,Pop Ballad,Sad,English
What Makes You Beautiful,One Direction,Pop,Love,English
Bink's Sake,"Ado, One Piece",Anime,Energetic,Japanese
Counting Stars,One Republic,Pop Rock,Energetic,English
Mawaru Sora Usagi,Orangestar,Vocaloid,Chill,Japanese
